id,product_name,price,reviews_count,avg_rate,brand
520,Funny Bunny - Set Of (3) Printed Pants - For NewBorn,EGP 106.00 - EGP 119.00,99 verified ratings,4.4/5,Funny Bunny
521,Dice Bundle Of Five Men Boxers,EGP 239.00,110 verified ratings,3.8/5,Dice
522,Funny Bunny - (3) Basic Sleeves Snap Closure Bodysuit - New Born,EGP 135.00 - EGP 149.00,121 verified ratings,4.6/5,Funny Bunny
523,Me Now Pro Matte Liquid Sweatproof Liquid Dip Eyeliner - 5.5g - Black,EGP 49.00,174 verified ratings,4.2/5,Me Now Pro
524,Malika Bundle OF Six Panties - For Girls,EGP 99.00,65 verified ratings,4.3/5,Malika
525,HM Collection We Together - EDT - For Women - 30 ML,EGP 35.20,13 verified ratings,4.5/5,HM Collection
526,Girls Fruits Earrings - Safe And Metal Free - 4 Pairs,EGP 39.99,6 verified ratings,3.2/5,(6 verified ratings)
527,Malika Bundle OF Six Printed Underwear - For Women,EGP 129.00,346 verified ratings,4/5,Malika
528,Knorr Cream Of Vegetabl Soup – 70 Gm,EGP 7.00,111 verified ratings,4.4/5,Knorr
529,Defacto Woman Pink Short Sleeve T-Shirt,EGP 80.00,1 verified rating,4/5,Defacto
530,Penduline Shower Gel For Babies - 450Ml,EGP 60.99,54 verified ratings,4.8/5,Penduline
531,Bundle Of (15) Women Ankle Socks For Women,EGP 55.00,471 verified ratings,3.7/5,(471 verified ratings)
532,Fern Pure Natural Butter Ghee - 700g,EGP 141.00,186 verified ratings,4.6/5,Fern
533,Cadbury Dairy Milk Bubbly Oreo Chocolate Bar - 43gm -12 Packs,EGP 101.45,20 verified ratings,4.7/5,Cadbury
534,Nescafe Classic Instant Coffee Jar - 50gm,EGP 32.85,57 verified ratings,4.6/5,Nescafe
535,TUT Basic Black Sweatshirt Boys Round Solid Cotton Milton Long Sleeve Kids,EGP 195.40 - EGP 275.40,,,TUT
536,Star Ethyl Alcohol 70 % - 1 Liter,EGP 29.00,18 verified ratings,4/5,Star
537,Socks - Set Of (12) Ankle Socks - For Kids,EGP 69.00,3 verified ratings,1.7/5,(3 verified ratings)
538,AL Asil Sunflower Oil - 1.5 Liter.,EGP 63.00,234 verified ratings,4.6/5,AL Asil
539,Finish Dishwasher Detergent Powder Lemon Scent - 1kg - 2 Pcs + 1 Free,EGP 220.00,135 verified ratings,4.6/5,Finish
540,Harvest Tomato paste – 320g,EGP 14.25,449 verified ratings,4.4/5,Harvest
541,Imtenan Cough Aid - 18 Sachet,EGP 18.00,10 verified ratings,4.5/5,Imtenan
542,Almarai Apple Juice - 235ml,EGP 6.00,2 verified ratings,3.5/5,Almarai
543,Durex Performax Intense - 3 Pcs,EGP 47.04,357 verified ratings,4.3/5,Durex
544,Woman Slippers - Black,EGP 49.00 - EGP 77.00,65 verified ratings,4.2/5,(65 verified ratings)
545,Mesery Bretelle Short Dress Cotton Thin Strap - RED,EGP 99.99,73 verified ratings,4.5/5,Mesery
546,Desert Sportive Lace-Up Sneakers For Men - BLACK,EGP 259.00,5 verified ratings,4.4/5,Desert
547,Johnson's Body Care Moisturizing Cream All Skin Types – 170g,EGP 21.00,187 verified ratings,4.6/5,Johnson's
